distance_red_init,angle_red_init,distance_green_init,angle_green_init,distance_blue_init,angle_blue_init,rSpeed,lSpeed,distance_red_final,angle_red_final,distance_green_final,angle_green_final,distance_blue_final,angle_blue_final
847.1856812364804,-44.99327496339742,848.4297619085031,-135.09065858321762,848.6286368560275,45.0906373374863,11,-6,852.5337236489721,-44.17429680461516,836.2516690319858,-134.73162173621526,860.8226918238051,44.73928228545728
852.5337236489721,-44.17429680461516,836.2516690319858,-134.73162173621526,860.8226918238051,44.73928228545728,0,-20,869.6275704091563,-47.39354580312884,885.0802490258905,-133.68312513002158,812.4644528936217,43.5654029519748
878.6157189613738,-47.981390529936206,894.693175119835,-133.14903920389546,803.3498650065311,42.938493140887864,13,5,835.068328032846,-46.13969282079388,865.24499679777,-135.90227364509852,832.0301276297469,45.938295813039566
835.068328032846,-46.13969282079388,865.24499679777,-135.90227364509852,832.0301276297469,45.938295813039566,-13,-28,932.1960737676308,-47.578205890303586,894.2954231951464,-129.69242485044126,810.8261662944691,39.14422441640296
953.8465950557282,-47.474765940639,895.8222674724079,-128.30562876879384,814.0674952971691,37.62977013555563,-27,3,1014.5360876522886,-49.10064506885453,935.4595411608203,-124.93967456576922,792.9993903836323,33.10805406684566
1014.5360876522886,-49.10064506885453,935.4595411608203,-124.93967456576922,792.9993903836323,33.10805406684566,6,6,1001.7630102512082,-47.73740001359716,909.1823407367538,-125.37005014966984,815.0025329454887,34.24468951535327
999.3128311099897,-47.46606401174668,904.0336179706277,-125.45818862383366,819.351239958214,34.461286852255306,1,5,995.2932512299327,-46.85610732371206,892.8237989345098,-125.57257510385422,829.2877039627742,34.842909732154894
995.2932512299327,-46.85610732371206,892.8237989345098,-125.57257510385422,829.2877039627742,34.842909732154894,-16,-29,1049.7260726273144,-52.139660937265575,997.8509124882161,-123.84438973208306,743.5596193672473,29.95124299070505
1049.7260726273144,-52.139660937265575,997.8509124882161,-123.84438973208306,743.5596193672473,29.95124299070505,30,-10,1041.1760809488549,-53.56482507176826,1019.7865578345384,-124.77441818899798,716.7088331672887,30.368902453967756
1041.1760809488549,-53.56482507176826,1019.7865578345384,-124.77441818899798,716.7088331672887,30.368902453967756,-28,30,1049.0868318443693,-54.07971729950313,1031.2555632573606,-124.52927087993636,708.220517034953,29.65528646901085
1049.0868318443693,-54.07971729950313,1031.2555632573606,-124.52927087993636,708.220517034953,29.65528646901085,7,-17,1067.1341416541957,-55.53594356963201,1062.76254482553,-124.11916115385489,683.504203559888,27.931856306548788
1067.1341416541957,-55.53594356963201,1062.76254482553,-124.11916115385489,683.504203559888,27.931856306548788,22,20,970.9256870724238,-54.27170882161543,1010.9313061811164,-128.76962115215585,700.737989420481,35.99228331641079
948.3264471527842,-53.9739807596927,1000.348684394308,-129.94227415913213,706.1313265741879,37.825484584635184,30,21,801.9475969286684,-53.72101137899784,971.7285362793799,-138.29502533265912,729.076679245514,49.393562355539515
